Unique_Date,Other_Currency,Units_Per_NZD,NZD_Per_Unit
2020-02-01,US Dollar,0.5826817390,1.5471385956
2020-02-02,US Dollar,0.5826282960,1.5471754286
2020-02-03,US Dollar,0.5841777575,1.5473730371
2020-02-04,US Dollar,0.5867063601,1.5434018170
2020-02-05,US Dollar,0.5885930677,1.5437355590
2020-02-06,US Dollar,0.5887196954,1.5474412306
2020-02-07,US Dollar,0.5850048729,1.5611695827
2020-02-08,US Dollar,0.5848014878,1.5621067411
2020-02-09,US Dollar,0.5849527103,1.5620055107
2020-02-10,US Dollar,0.5848228732,1.5664937318
2020-02-11,US Dollar,0.5864197488,1.5621963166
2020-02-12,US Dollar,0.5941738284,1.5452534232
2020-02-13,US Dollar,0.5938866341,1.5519538077
2020-02-14,US Dollar,0.5937582195,1.5538858785
2020-02-15,US Dollar,0.5939513741,1.5542876013
2020-02-16,US Dollar,0.5941028795,1.5540421993
2020-02-17,US Dollar,0.5940980130,1.5531083122
2020-02-18,US Dollar,0.5912156810,1.5642142948
2020-02-19,US Dollar,0.5909905348,1.5676835519
2020-02-20,US Dollar,0.5871427295,1.5774801145
2020-02-21,US Dollar,0.5850322775,1.5745282827
2020-02-22,US Dollar,0.5853742555,1.5744994907
2020-02-23,US Dollar,0.5851664622,1.5753262444
2020-02-24,US Dollar,0.5846437128,1.5756458938
2020-02-25,US Dollar,0.5819001895,1.5811607017
2020-02-26,US Dollar,0.5786191205,1.5873866737
2020-02-27,US Dollar,0.5755816793,1.5826117813
2020-02-28,US Dollar,0.5666218610,1.6038152154
2020-02-29,US Dollar,0.5666971909,1.6002530261
2020-03-01,US Dollar,0.5669256176,1.6000009325
2020-03-02,US Dollar,0.5597315445,1.6005727647
2020-03-03,US Dollar,0.5642136031,1.5860757323
2020-03-04,US Dollar,0.5639881637,1.5932408020
2020-03-05,US Dollar,0.5628740986,1.5857603560
2020-03-06,US Dollar,0.5616555908,1.5733353255
2020-03-07,US Dollar,0.5630627888,1.5732312101
2020-03-08,US Dollar,0.5627887982,1.5738586214
2020-03-09,US Dollar,0.5617628134,1.5582857227
2020-03-10,US Dollar,0.5530867408,1.5921766781
